Latitude,Longitude,Plot_Id,max_RSM
11.79922024,76.66800184,1001,0.939999998
11.79855941,76.65578474,1002,0.939999998
11.79863375,76.65543651,1003,0.939999998
11.7992269,76.6560365,1004,0.939999998
11.79984182,76.65600349,1005,0.939999998
11.79986158,76.65602471,1006,0.939999998
11.79728416,76.65138001,1007,0.939999998
11.79808543,76.65147932,1008,0.939999998
11.79844014,76.65142088,1009,0.939999998
11.79927064,76.65084777,1010,0.939999998
11.78700262,76.63294167,1011,0.830302775
11.78756367,76.63284406,1012,0.830302775
11.78751989,76.63259605,1013,0.830302775
11.78750428,76.63216471,1014,0.830302775
11.78107715,76.62735552,1015,0.748606563
11.77724708,76.62683751,1016,0.939999998
11.7624005,76.62412621,1017,0.99000001
11.76174095,76.62405812,1018,0.99000001
11.76173353,76.62377365,1019,0.99000001
11.76172585,76.62353506,1020,0.99000001
11.75630619,76.60838343,1021,0.888391316
11.75692266,76.60807507,1022,0.888391316
11.75693005,76.6083687,1023,0.888391316
11.75612745,76.5983636,1024,0.839463413
11.76326174,76.59970762,1025,0.763529837
11.76336072,76.59979077,1026,0.763529837
11.75485466,76.58993387,1027,0.731762588
11.75638528,76.58618099,1028,0.756168842
11.75696369,76.58621183,1029,0.756168842
11.75734987,76.58667278,1030,0.756168842
11.7614279,76.58652182,1031,0.806132853
11.76101206,76.58651944,1032,0.806132853
11.76068641,76.58655427,1033,0.806132853
11.76132085,76.58788827,1034,0.806132853
11.76166371,76.58800952,1035,0.806132853
11.76118397,76.58811686,1036,0.806132853
11.76070239,76.58530657,1037,0.806132853
11.76073855,76.58530678,1038,0.806132853
11.76127054,76.58555755,1039,0.806132853
11.76128729,76.58579619,1040,0.806132853
11.76100618,76.58595056,1041,0.806132853
11.76172186,76.57916516,1042,0.939999998
11.76088088,76.57920624,1043,0.939999998
11.76086153,76.57943551,1044,0.939999998
11.7621345,76.57811239,1045,0.939999998
11.76884613,76.56761745,1046,0.939999998
11.76899931,76.56771007,1047,0.939999998
11.77917663,76.58606389,1048,0.939999998
11.77825285,76.58636138,1049,0.939999998
11.77766469,76.58645894,1050,0.939999998
11.77807839,76.58684668,1051,0.939999998
11.77930747,76.60626913,1052,0.89969784
11.7786302,76.60613674,1053,0.89969784
11.77992609,76.55673367,1054,0.939999998
11.77989982,76.55657753,1055,0.939999998
11.78010569,76.5569549,1056,0.939999998
11.78054615,76.55741616,1057,0.939999998
11.78069858,76.55764642,1058,0.939999998
11.78116781,76.55780505,1059,0.939999998
11.7813558,76.55814561,1060,0.939999998
11.78165146,76.56028523,1061,0.939999998
11.78109077,76.56031876,1062,0.939999998
11.77904212,76.55967408,1063,0.939999998
11.77925848,76.55978541,1064,0.939999998
11.77870316,76.5604888,1065,0.939999998
11.77832317,76.56054171,1066,0.939999998
11.77797046,76.56056725,1067,0.939999998
11.77770809,76.56060247,1068,0.939999998
11.77712877,76.56073683,1069,0.939999998
11.74681862,76.59141073,1070,0.786723614
11.74688935,76.59169554,1071,0.786723614
11.74645548,76.59168388,1072,0.786723614
11.74611252,76.59158099,1073,0.786723614
11.74570511,76.59168875,1074,0.786723614
11.74298033,76.59071897,1075,0.73950702
11.7432688,76.59086742,1076,0.73950702
11.74381968,76.5909715,1077,0.73950702
11.74978299,76.58994147,1078,0.666295886
11.74980827,76.5902719,1079,0.786723614
11.74996245,76.59180494,1080,0.786723614
11.74967297,76.59183997,1081,0.786723614
11.72205423,76.77912756,1082,0.99000001
11.77626096,76.56072276,1083,0.939999998
11.73056899,76.78210832,1084,0.939999998
11.73088261,76.78255064,1085,0.939999998
11.73107209,76.7826069,1086,0.939999998
11.73155883,76.78283018,1087,0.939999998
11.73050188,76.78417184,1088,0.939999998
11.73321287,76.79297714,1089,0.939999998
11.73318776,76.79265592,1090,0.939999998
11.73318097,76.79229812,1091,0.939999998
11.73216599,76.78548512,1092,0.939999998
11.7327073,76.78565372,1093,0.939999998
11.73298964,76.78531613,1094,0.939999998
11.73434683,76.78511387,1095,0.939999998
11.73441708,76.78544456,1096,0.939999998
11.73601391,76.78595019,1097,0.91914773
11.73628548,76.78588772,1098,0.91914773
11.73548925,76.78456165,1099,0.853178144
11.73569624,76.78470976,1100,0.853178144
11.73585894,76.7847108,1101,0.853178144
11.57372279,76.78369406,1102,0
11.78131,76.627543,1103,0.748606563
11.764639,76.624715,1104,0.99000001
11.765343,76.624807,1105,0.899824083
11.765176,76.623972,1106,0.899824083
11.761438,76.623632,1107,0.99000001
11.758245,76.586897,1108,0.756168842
11.757997,76.585974,1109,0.756168842
11.762323,76.577312,1110,0.939999998
11.773458,76.568339,1111,0.939999998
11.774032,76.568227,1112,0.939999998
